0.00 |	0.00 |	50.00 |	50.00 |	19.00 |	19.00
12.22 |	12.22 |	37.78 |	37.78 |	14.36 |	14.36
15.27 |	21.38 |	34.73 |	28.62 |	13.20 |	10.88
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
18.33 |	15.27 |	31.67 |	34.73 |	12.04 |	13.20
12.22 |	21.38 |	37.78 |	28.62 |	14.36 |	10.88
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
12.22 |	21.38 |	37.78 |	28.62 |	14.36 |	10.88
15.27 |	15.27 |	34.73 |	34.73 |	13.20 |	13.20
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
15.27 |	21.38 |	34.73 |	28.62 |	13.20 |	10.88
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	21.38 |	34.73 |	28.62 |	13.20 |	10.88
15.27 |	15.27 |	34.73 |	34.73 |	13.20 |	13.20
15.27 |	15.27 |	34.73 |	34.73 |	13.20 |	13.20
12.22 |	21.38 |	37.78 |	28.62 |	14.36 |	10.88
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	15.27 |	34.73 |	34.73 |	13.20 |	13.20
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	21.38 |	37.78 |	28.62 |	14.36 |	10.88
15.27 |	15.27 |	34.73 |	34.73 |	13.20 |	13.20
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
12.22 |	21.38 |	37.78 |	28.62 |	14.36 |	10.88
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
9.16 |	18.33 |	40.84 |	31.67 |	15.52 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	21.38 |	37.78 |	28.62 |	14.36 |	10.88
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
18.33 |	18.33 |	31.67 |	31.67 |	12.04 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
12.22 |	21.38 |	37.78 |	28.62 |	14.36 |	10.88
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
18.33 |	18.33 |	31.67 |	31.67 |	12.04 |	12.04
9.16 |	21.38 |	40.84 |	28.62 |	15.52 |	10.88
15.27 |	15.27 |	34.73 |	34.73 |	13.20 |	13.20
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
18.33 |	18.33 |	31.67 |	31.67 |	12.04 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
18.33 |	18.33 |	31.67 |	31.67 |	12.04 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	18.33 |	37.78 |	31.67 |	14.36 |	12.04
15.27 |	18.33 |	34.73 |	31.67 |	13.20 |	12.04
12.22 |	21.38 |	37.78 |	28.62 |	14.36 |	10.88
12.22 |	15.27 |	37.78 |	34.73 |	14.36 |	13.20
15.27 |	15.27 |	34.73 |	34.73 |	13.20 |	13.20
