0.00 |	0.00 |	50.00 |	50.00 |	20.00 |	20.00
9.16 |	15.27 |	40.84 |	34.73 |	21.33 |	18.89
24.43 |	27.49 |	25.57 |	22.51 |	19.31 |	17.48
30.54 |	27.49 |	19.46 |	22.51 |	19.42 |	19.73
30.54 |	30.54 |	19.46 |	19.46 |	21.37 |	20.76
30.54 |	36.65 |	19.46 |	13.35 |	23.31 |	20.26
39.71 |	36.65 |	10.29 |	13.35 |	21.59 |	21.59
36.65 |	36.65 |	13.35 |	13.35 |	23.85 |	22.93
39.71 |	42.76 |	10.29 |	7.24 |	23.96 |	21.82
39.71 |	45.81 |	10.29 |	4.19 |	24.99 |	21.32
42.76 |	42.76 |	7.24 |	7.24 |	24.80 |	22.96
45.81 |	42.76 |	4.19 |	7.24 |	24.30 |	23.69
45.81 |	42.76 |	4.19 |	7.24 |	24.72 |	24.41
42.76 |	48.87 |	7.24 |	1.13 |	26.36 |	22.69
48.87 |	48.87 |	1.13 |	1.13 |	24.64 |	22.80
45.81 |	48.87 |	4.19 |	1.13 |	25.97 |	22.92
48.87 |	45.81 |	1.13 |	4.19 |	25.17 |	24.25
48.87 |	48.87 |	1.13 |	1.13 |	25.28 |	23.45
48.87 |	48.87 |	1.13 |	1.13 |	25.40 |	23.56
48.87 |	48.87 |	1.13 |	1.13 |	25.51 |	23.68
48.87 |	48.87 |	1.13 |	1.13 |	25.62 |	23.79
48.87 |	51.92 |	1.13 |	-1.92 |	25.73 |	22.68
48.87 |	45.81 |	1.13 |	4.19 |	25.85 |	24.93
48.87 |	48.87 |	1.13 |	1.13 |	25.96 |	24.13
51.92 |	51.92 |	-1.92 |	-1.92 |	24.85 |	23.02
45.81 |	51.92 |	4.19 |	-1.92 |	27.10 |	22.83
51.92 |	48.87 |	-1.92 |	1.13 |	25.08 |	23.86
51.92 |	48.87 |	-1.92 |	1.13 |	24.89 |	23.97
48.87 |	48.87 |	1.13 |	1.13 |	25.92 |	24.08
48.87 |	48.87 |	1.13 |	1.13 |	26.03 |	24.20
51.92 |	54.98 |	-1.92 |	-4.98 |	24.92 |	21.87
48.87 |	48.87 |	1.13 |	1.13 |	25.95 |	23.81
48.87 |	48.87 |	1.13 |	1.13 |	26.06 |	23.92
48.87 |	48.87 |	1.13 |	1.13 |	26.18 |	24.04
54.98 |	51.92 |	-4.98 |	-1.92 |	23.84 |	22.93
48.87 |	48.87 |	1.13 |	1.13 |	25.79 |	23.96
45.81 |	48.87 |	4.19 |	1.13 |	27.13 |	24.07
51.92 |	51.92 |	-1.92 |	-1.92 |	25.10 |	22.96
51.92 |	51.92 |	-1.92 |	-1.92 |	24.91 |	22.77
51.92 |	45.81 |	-1.92 |	4.19 |	24.72 |	25.02
48.87 |	51.92 |	1.13 |	-1.92 |	25.74 |	23.00
48.87 |	51.92 |	1.13 |	-1.92 |	25.86 |	22.80
48.87 |	45.81 |	1.13 |	4.19 |	25.97 |	25.05
48.87 |	51.92 |	1.13 |	-1.92 |	26.08 |	23.03
51.92 |	51.92 |	-1.92 |	-1.92 |	24.98 |	22.84
51.92 |	51.92 |	-1.92 |	-1.92 |	24.78 |	22.65
48.87 |	45.81 |	1.13 |	4.19 |	25.81 |	24.90
48.87 |	51.92 |	1.13 |	-1.92 |	25.93 |	22.87
48.87 |	48.87 |	1.13 |	1.13 |	26.04 |	23.90
51.92 |	48.87 |	-1.92 |	1.13 |	24.93 |	24.01
51.92 |	51.92 |	-1.92 |	-1.92 |	24.74 |	22.90
48.87 |	48.87 |	1.13 |	1.13 |	25.77 |	23.93
51.92 |	48.87 |	-1.92 |	1.13 |	24.66 |	24.05
48.87 |	51.92 |	1.13 |	-1.92 |	25.69 |	22.94
48.87 |	51.92 |	1.13 |	-1.92 |	25.80 |	22.75
51.92 |	45.81 |	-1.92 |	4.19 |	24.69 |	25.00
48.87 |	51.92 |	1.13 |	-1.92 |	25.72 |	22.97
51.92 |	48.87 |	-1.92 |	1.13 |	24.61 |	24.00
48.87 |	51.92 |	1.13 |	-1.92 |	25.64 |	22.89
48.87 |	48.87 |	1.13 |	1.13 |	25.76 |	23.92
51.92 |	51.92 |	-1.92 |	-1.92 |	24.65 |	22.81
48.87 |	48.87 |	1.13 |	1.13 |	25.68 |	23.84
51.92 |	48.87 |	-1.92 |	1.13 |	24.57 |	23.96
48.87 |	51.92 |	1.13 |	-1.92 |	25.60 |	22.85
51.92 |	45.81 |	-1.92 |	4.19 |	24.49 |	25.10
