Left Speed |	 Right Speed |	 Left Error |	 Right Error |	 Left Effort |	 Right Effort |	
12.22 |	171.04 |	37.78 |	-121.04 |	11.33 |	-36.31
0.00 |	-39.71 |	50.00 |	89.71 |	15.00 |	26.91
3.05 |	-3.05 |	46.95 |	53.05 |	14.08 |	15.92
0.00 |	30.54 |	50.00 |	19.46 |	15.00 |	5.84
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	0.00 |	50.00 |	50.00 |	15.00 |	15.00
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	18.33 |	50.00 |	31.67 |	15.00 |	9.50
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	18.33 |	50.00 |	31.67 |	15.00 |	9.50
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	18.33 |	50.00 |	31.67 |	15.00 |	9.50
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	0.00 |	50.00 |	50.00 |	15.00 |	15.00
0.00 |	0.00 |	50.00 |	50.00 |	15.00 |	15.00
0.00 |	0.00 |	50.00 |	50.00 |	15.00 |	15.00
0.00 |	18.33 |	50.00 |	31.67 |	15.00 |	9.50
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	15.27 |	50.00 |	34.73 |	15.00 |	10.42
0.00 |	9.16 |	50.00 |	40.84 |	15.00 |	12.25
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
39.71 |	12.22 |	10.29 |	37.78 |	3.09 |	11.33
39.71 |	12.22 |	10.29 |	37.78 |	3.09 |	11.33
36.65 |	12.22 |	13.35 |	37.78 |	4.00 |	11.33
39.71 |	12.22 |	10.29 |	37.78 |	3.09 |	11.33
21.38 |	12.22 |	28.62 |	37.78 |	8.59 |	11.33
0.00 |	12.22 |	50.00 |	37.78 |	15.00 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
15.27 |	12.22 |	34.73 |	37.78 |	10.42 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
9.16 |	12.22 |	40.84 |	37.78 |	12.25 |	11.33
15.27 |	12.22 |	34.73 |	37.78 |	10.42 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
15.27 |	12.22 |	34.73 |	37.78 |	10.42 |	11.33
9.16 |	12.22 |	40.84 |	37.78 |	12.25 |	11.33
15.27 |	12.22 |	34.73 |	37.78 |	10.42 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
15.27 |	9.16 |	34.73 |	40.84 |	10.42 |	12.25
9.16 |	15.27 |	40.84 |	34.73 |	12.25 |	10.42
12.22 |	12.22 |	37.78 |	37.78 |	11.33 |	11.33
