Left Speed |	 Right Speed |	 Left Error |	 Right Error |	 Left Effort |	 Right Effort |	
0.00 |	0.00 |	50.00 |	50.00 |	20.00 |	20.00
21.38 |	18.33 |	28.62 |	31.67 |	16.45 |	17.67
30.54 |	33.60 |	19.46 |	16.40 |	15.64 |	14.73
27.49 |	27.49 |	22.51 |	22.51 |	18.81 |	18.81
33.60 |	30.54 |	16.40 |	19.46 |	18.62 |	19.84
36.65 |	36.65 |	13.35 |	13.35 |	19.04 |	19.34
39.71 |	39.71 |	10.29 |	10.29 |	19.15 |	19.46
42.76 |	39.71 |	7.24 |	10.29 |	18.96 |	20.49
39.71 |	42.76 |	10.29 |	7.24 |	20.90 |	20.29
42.76 |	45.81 |	7.24 |	4.19 |	20.71 |	19.80
45.81 |	42.76 |	4.19 |	7.24 |	20.21 |	21.44
45.81 |	45.81 |	4.19 |	4.19 |	20.63 |	20.94
45.81 |	45.81 |	4.19 |	4.19 |	21.05 |	21.36
45.81 |	45.81 |	4.19 |	4.19 |	21.47 |	21.78
48.87 |	48.87 |	1.13 |	1.13 |	20.67 |	20.97
48.87 |	45.81 |	1.13 |	4.19 |	20.78 |	22.31
45.81 |	48.87 |	4.19 |	1.13 |	22.11 |	21.50
51.92 |	51.92 |	-1.92 |	-1.92 |	20.09 |	20.40
45.81 |	45.81 |	4.19 |	4.19 |	22.34 |	22.65
51.92 |	48.87 |	-1.92 |	1.13 |	20.32 |	21.84
48.87 |	51.92 |	1.13 |	-1.92 |	21.35 |	20.73
48.87 |	45.81 |	1.13 |	4.19 |	21.46 |	22.99
48.87 |	48.87 |	1.13 |	1.13 |	21.57 |	22.18
51.92 |	51.92 |	-1.92 |	-1.92 |	20.46 |	21.07
45.81 |	51.92 |	4.19 |	-1.92 |	22.71 |	20.88
51.92 |	48.87 |	-1.92 |	1.13 |	20.69 |	21.91
48.87 |	45.81 |	1.13 |	4.19 |	21.72 |	23.25
48.87 |	51.92 |	1.13 |	-1.92 |	21.83 |	21.22
48.87 |	51.92 |	1.13 |	-1.92 |	21.94 |	21.03
48.87 |	51.92 |	1.13 |	-1.92 |	22.06 |	20.84
51.92 |	45.81 |	-1.92 |	4.19 |	20.95 |	23.09
48.87 |	51.92 |	1.13 |	-1.92 |	21.98 |	21.06
48.87 |	48.87 |	1.13 |	1.13 |	22.09 |	22.09
51.92 |	51.92 |	-1.92 |	-1.92 |	20.98 |	20.98
51.92 |	51.92 |	-1.92 |	-1.92 |	20.79 |	20.79
45.81 |	42.76 |	4.19 |	7.24 |	23.04 |	24.26
48.87 |	51.92 |	1.13 |	-1.92 |	22.24 |	21.32
54.98 |	54.98 |	-4.98 |	-4.98 |	19.91 |	19.91
48.87 |	45.81 |	1.13 |	4.19 |	21.85 |	23.08
48.87 |	51.92 |	1.13 |	-1.92 |	21.97 |	21.05
48.87 |	51.92 |	1.13 |	-1.92 |	22.08 |	20.86
